iso3,year,var,value
BDI,2021,gdp_pc_ppp_current,836.665571337829
BDI,2021,inflation_cpi_annual_pct,8.40453845076341
BDI,2021,ppp_conv_gdp_lcu_per_intl$,609.599182128906
BDI,2021,unemployment_total_pct,1.118
BDI,2022,gdp_pc_ppp_const2021,829.38715963357
BDI,2022,gdp_pc_ppp_current,888.518158386925
BDI,2022,inflation_cpi_annual_pct,18.8008786664945
BDI,2022,ppp_conv_gdp_lcu_per_intl$,673.343327792428
BDI,2022,unemployment_total_pct,0.915
BDI,2023,gdp_pc_ppp_const2021,828.582949914141
BDI,2023,gdp_pc_ppp_current,919.597971491806
BDI,2023,inflation_cpi_annual_pct,26.9414835762453
BDI,2023,ppp_conv_gdp_lcu_per_intl$,720.637609269741
BDI,2023,unemployment_total_pct,0.921
BDI,2024,gdp_pc_ppp_const2021,835.620859248356
BDI,2024,gdp_pc_ppp_current,949.834613118208
BDI,2024,inflation_cpi_annual_pct,20.2124925027847
BDI,2024,ppp_conv_gdp_lcu_per_intl$,773.002496902328
BDI,2024,unemployment_total_pct,0.902
BEL,2019,gdp_pc_ppp_const2021,60506.6597699177
BEL,2019,gdp_pc_ppp_current,56712.469571978
BEL,2019,gini,27.2
BEL,2019,inflation_cpi_annual_pct,1.4368195699643
BEL,2019,ppp_conv_gdp_lcu_per_intl$,0.735832
BEL,2019,unemployment_total_pct,5.364
BEL,2020,gdp_pc_ppp_const2021,57358.8370328069
BEL,2020,gdp_pc_ppp_current,56120.0958420466
BEL,2020,gini,26.0
BEL,2020,inflation_cpi_annual_pct,0.740791812220353
BEL,2020,ppp_conv_gdp_lcu_per_intl$,0.716165
BEL,2020,unemployment_total_pct,5.545
BEL,2021,gdp_pc_ppp_const2021,60669.2137746531
BEL,2021,gdp_pc_ppp_current,60669.2137746531
BEL,2021,gini,26.6
BEL,2021,inflation_cpi_annual_pct,2.44024851144083
BEL,2021,ppp_conv_gdp_lcu_per_intl$,0.719916
BEL,2021,unemployment_total_pct,6.248
BEL,2022,gdp_pc_ppp_const2021,62744.2029966767
BEL,2022,gdp_pc_ppp_current,68157.8347860761
BEL,2022,gini,26.4
BEL,2022,inflation_cpi_annual_pct,9.59751172872501
BEL,2022,ppp_conv_gdp_lcu_per_intl$,0.708092
